ToLID,Species,NCBI Species,Common name,Assembly version,Pipeline version,Curated,Required purging? (HiC asm only),Total bp,Genome size¹,Heterozygosity¹,Sequencing depth,Repeat content¹,Sex (metadata),Heterogametic,Mitogenome?,Assembler,Instance,Bionano,Draft assembly folder,,Curated assembly folder,Notes,% assigned to chr,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Scaffold NG50,Scaffold auNG,Scaffold LG50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Contig NG50,Contig auNG,Contig LG50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content %
bLatDis1,Lathamus discolor,Lathamus discolor,swift parrot,hap2,vgp_hic_2.0,NA,,,"1,103,550,947",0.794,37,12.5,,,,Linelle Abueg,RU,,,,,,,451,"1,275,577,960","2,828,332.51","127,208,742","105,446,045.70",5,"128,170,666","121,883,500.02",4,"167,123,045","18,689",583,"1,272,123,181","2,182,029.47","24,983,453","28,185,710.27",17,"26,018,004","32,491,200.79",14,"90,306,888","18,689",132,"3,454,779","26,172.57","536,724","479,299.30",3,"818,244",13,"364,554,547:270,962,565:273,101,003:363,505,066",42.77
bLepDis1,Leptosomus discolor,Leptosomus discolor,cuckoo-roller,hap1,vgp_hic_2.0,Y,,,"1,228,339,534",0.447,32,12.9,,,,Linelle Abueg,RU,,,,,,90.66,341,"1,326,380,861","3,889,679.94","74,822,163","85,361,315.67",6,"74,822,163","92,174,526.86",6,"219,104,632","11,887",625,"1,326,324,061","2,122,118.50","8,035,883","10,174,042.37",48,"8,422,733","10,985,624.75",42,"36,666,543","11,887",284,"56,800",200,200,200,142,200,200,"373,808,903:288,356,068:288,847,470:375,311,620",43.52
bLepDis1,Leptosomus discolor,Leptosomus discolor,cuckoo-roller,hap2,vgp_hic_2.0,Y,,,"1,228,339,534",0.447,32,12.9,,,,Linelle Abueg,RU,,,,,,91.24,279,"1,333,606,631","4,779,952.08","82,124,922","86,807,670.43",6,"82,124,922","94,246,974.64",6,"219,330,182","11,844",551,"1,333,552,231","2,420,239.98","8,588,060","11,503,629.59",43,"9,326,972","12,488,966.18",37,"42,063,349","11,844",272,"54,400",200,200,200,136,200,200,"375,652,321:291,366,042:291,370,107:375,163,761",43.7
bMerOct1,Mergus octosetaceus,Mergus serrator,Brazilian merganser,hap1,vgp_hic_2.0,NA,,,"1,105,824,749",0.456,49,13.8,,,,Linelle Abueg,RU,,,,,,95.61,621,"1,139,160,956","1,834,397.67","78,016,438","92,156,821.04",4,"78,016,438","94,934,981.74",4,"209,264,122","12,909",791,"1,139,126,956","1,440,109.93","11,940,016","14,640,428.16",29,"12,525,503","15,081,328.56",27,"52,631,195","12,909",170,"34,000",200,200,200,85,200,200,"326,368,627:242,212,074:241,927,401:328,618,854",42.5
bMerOct1,Mergus octosetaceus,Mergus serrator,Brazilian merganser,hap2,vgp_hic_2.0,NA,,,"1,105,824,749",0.456,49,13.8,,,,Linelle Abueg,RU,,,,,,90.88,781,"1,321,329,656","1,691,843.35","77,730,658","87,445,873.38",5,"87,077,407","104,487,465.93",4,"210,300,564","17,056","1,035","1,321,278,856","1,276,597.93","10,041,119","12,802,628.26",36,"12,842,563","15,297,036.93",27,"40,062,994","17,056",254,"50,800",200,200,200,127,200,200,"376,977,337:281,873,797:283,154,853:379,272,869",42.76
bMolAte1,Molothrus ater,Molothrus ater,brown-headed cowbird,hap1,vgp_hic_2.0,NA,,,"1,099,734,622",1.02,58,16.8,,,,Alexandra Denisova,RU,,,,,,,"2,290","1,299,979,823","567,676.78","63,046,713","61,381,067.85",7,"69,893,505","72,557,640.84",6,"153,404,444","4,494","2,546","1,299,928,623","510,576.84","18,290,873","25,262,580.54",19,"21,390,696","29,861,341.89",14,"93,233,092","4,494",256,"51,200",200,200,200,128,200,200,"365,872,081:284,068,981:283,359,250:366,628,311",43.65
bMolAte1,Molothrus ater,Molothrus ater,brown-headed cowbird,hap2,vgp_hic_2.0,NA,,,"1,099,734,622",1.02,58,16.8,,,,Alexandra Denisova,RU,,,,,,,"1,910","1,182,716,977","619,223.55","63,167,968","62,746,100.22",6,"63,167,968","67,480,714.42",6,"154,294,293","7,896","2,034","1,182,692,177","581,461.25","18,740,061","27,218,382.73",16,"20,781,777","29,271,578.50",14,"76,863,800","7,896",124,"24,800",200,200,200,62,200,200,"333,465,583:257,571,921:257,126,287:334,528,386",43.52
bMorBas2,Morus bassanus,Morus bassanus,Northern gannet,hap1,vgp_hic_2.0,Y,,,"1,296,859,307",0.099,37,13.6,,,,Linelle Abueg,RU,,,,,,88.38,935,"1,380,593,596","1,476,570.69","66,990,878","72,809,737.40",7,"85,149,784","77,510,842.26",6,"168,771,655","10,741","1,175","1,380,545,596","1,174,932.42","9,126,423","11,482,301.73",42,"9,782,493","12,223,254.29",38,"35,112,873","10,741",240,"48,000",200,200,200,120,200,200,"393,550,944:295,780,822:296,775,653:394,438,177",42.92
bMorBas2,Morus bassanus,Morus bassanus,Northern gannet,hap2,vgp_hic_2.0,Y,,,"1,296,859,307",0.099,37,13.6,,,,Linelle Abueg,RU,,,,,,93.79,460,"1,299,462,843","2,824,919.22","85,624,757","77,942,890.04",6,"85,624,757","78,099,365.86",6,"170,178,824","9,928",697,"1,299,415,443","1,864,297.62","10,178,591","11,899,430.78",40,"10,178,591","11,922,884.80",40,"42,930,975","9,928",237,"47,400",200,200,200,119,200,200,"374,441,792:276,677,140:275,008,168:373,288,343",42.46
bStrAlu1,Strix aluco,Strix aluco,tawny owl,hap1,vgp_hic_2.0,Y,,,"1,254,527,039",0.515,26,15.4,,,,Linelle Abueg,RU,,,,,,94.96,221,1370507822,6201392.86,49719323,79873344.11,6,89389700,87257619.39,5,173077747,20894,452,1366637350,3023533.96,12397314,15802171.22,31,14354776,17214325.98,27,44761009,20894,231,3870472,16755.29,2116532,1210214.01,1,2116532,13,391165050:291851960:290786028:392834312,42.63
bStrAlu1,Strix aluco,Strix aluco,tawny owl,hap2,vgp_hic_2.0,Y,,,"1,254,527,039",0.515,26,15.4,,,,Linelle Abueg,RU,,,,,,96.35,205,1262255891,6157345.81,89677789,82821578.94,5,89677789,83331823.6,5,171690292,14217,418,1257936456,3009417.36,13484663,18437068.18,27,13484663,18487174.44,27,76666937,14217,213,4319435,20279.04,329140,459417.7,4,1083313,13,361175212:266746292:269279630:360735322,42.61
fChaTrf1,,,,hap2,vgp_hic_2.0,,,,"633,385,601",0.408,65,12.3,,,,Linelle Abueg,RU,,,,,,,70,"664,933,291","9,499,047.01","28,164,111","27,745,859.44",11,"28,164,111","29,127,826.08",11,"34,204,227","23,732",112,"664,924,891","5,936,829.38","18,002,130","17,937,724.09",14,"19,224,765","18,830,928.92",13,"30,506,113","23,732",42,"8,400",200,200,200,21,200,200,"190,507,049:142,075,010:142,028,632:190,314,200",42.73
fCypVen1,Cyprinella venusta,Cyprinella venusta,blacktail shiner,hap1,vgp_hic_2.0,20240421,,,"860,442,236",1.4,54,41,,,,Linelle Abueg,RU,,,,,,97.3,711,"921,552,228","1,296,135.34","36,009,599","44,535,358.46",8,"36,009,599","47,698,331.27",8,"104,029,127","12,203","1,316","921,431,228","700,175.71","1,620,071","2,854,731.79",142,"1,784,480","3,057,077.99",124,"13,050,490","12,203",605,"121,000",200,200,200,303,200,200,"282,940,887:178,148,729:178,017,327:282,324,285",38.65
fCypVen1,Cyprinella venusta,Cyprinella venusta,blacktail shiner,hap2,vgp_hic_2.0,20240421,,,"860,442,236",1.4,54,41,,,,Linelle Abueg,RU,,,,,,97.9,436,"927,679,728","2,127,705.80","34,294,967","40,104,273.45",10,"34,756,244","43,238,139.56",9,"81,556,189","13,508","1,062","927,554,528","873,403.51","1,564,967","2,592,415.82",157,"1,683,561","2,794,617.62",136,"13,316,459","13,508",626,"125,200",200,200,200,313,200,200,"283,903,488:180,178,475:179,557,481:283,915,084",38.78
fFunDia1,Fundulus diaphanus,Fundulus diaphanus,banded killifish,hap1,vgp_hic_2.0,Y,,,"1,263,776,881",0.316,37,36.2,,,,Linelle Abueg,RU,,,,,,98.76,365,"1,384,866,267","3,794,154.16","63,962,506","115,099,597.19",6,"64,116,427","126,127,920.12",5,"286,931,543","11,324",599,"1,362,740,861","2,275,026.48","11,763,800","14,942,351.20",33,"12,715,123","16,112,458.50",29,"41,039,661","11,324",234,"22,125,406","94,553.02","13,383,872","9,633,168.88",1,"13,383,872",13,"400,159,355:280,985,881:281,095,986:400,499,639",41.25
fFunDia1,Fundulus diaphanus,Fundulus diaphanus,banded killifish,hap2,vgp_hic_2.0,Y,,,"1,263,776,881",0.316,37,36.2,,,,Linelle Abueg,RU,,,,,,98.99,218,"1,334,730,989","6,122,619.22","56,531,689","58,099,793.59",10,"56,531,689","61,361,776.85",10,"102,536,057","11,324",592,"1,310,686,537","2,213,997.53","7,797,407","9,779,996.80",47,"8,324,742","10,143,016.80",44,"27,426,406","11,324",374,"24,044,452","64,289.98","4,742,026","4,598,743.91",2,"9,294,778",13,"385,431,883:269,933,759:270,191,065:385,129,830",41.21
fHapBur1,Astatotilapia burtoni,Astatotilapia burtoni,Burton's mouthbrooder,hap1,vgp_hic_2.0,NA,,,"828,546,568",0.484,42,24,,,,Linelle Abueg,RU,,,,,,,247,"876,739,193","3,549,551.39","40,574,859","53,672,335.27",7,"54,724,470","56,794,200.51",6,"113,408,878","11,455",426,"876,703,393","2,057,989.19","8,604,320","9,684,697.79",33,"8,986,173","10,247,592.28",30,"24,733,033","11,455",179,"35,800",200,200,200,90,200,200,"258,558,466:179,862,867:179,958,860:258,323,200",41.04
fHapBur1,Astatotilapia burtoni,Astatotilapia burtoni,Burton's mouthbrooder,hap2,vgp_hic_2.0,NA,,,"828,546,568",0.484,42,24,,,,Linelle Abueg,RU,,,,,,,237,"902,832,762","3,809,420.94","46,594,217","53,335,972.63",7,"47,175,895","58,117,992.81",6,"114,798,149","12,513",393,"902,801,562","2,297,204.99","9,134,839","11,852,976.95",28,"11,013,662","12,915,250.05",24,"33,304,335","12,513",156,"31,200",200,200,200,78,200,200,"266,186,972:185,461,504:185,311,822:265,841,264",41.07
fHapBur2,Astatotilapia burtoni,Astatotilapia burtoni,Burton's mouthbrooder,hap1,vgp_hic_2.0,NA,,,"847,603,903",0.535,43,25.5,,,,Linelle Abueg,RU,,,,,,,202,"900,999,480","4,460,393.47","40,640,326","46,707,624.54",8,"40,640,326","49,650,013.73",8,"76,790,240","14,845",340,"900,971,880","2,649,917.29","9,768,771","12,011,400.07",28,"9,972,013","12,767,678.00",26,"33,846,811","14,845",138,"27,600",200,200,200,69,200,200,"265,438,452:185,101,669:185,011,575:265,420,184",41.08
fHapBur2,Astatotilapia burtoni,Astatotilapia burtoni,Burton's mouthbrooder,hap2,vgp_hic_2.0,NA,,,"847,603,903",0.535,43,25.5,,,,Linelle Abueg,RU,,,,,,,129,"892,901,673","6,921,718.40","46,284,737","55,412,472.77",7,"55,163,087","58,373,834.13",6,"111,726,102","21,631",251,"892,877,273","3,557,279.97","13,649,456","16,258,015.48",22,"14,283,574","17,126,410.66",20,"65,692,767","21,631",122,"24,400",200,200,200,61,200,200,"263,122,317:183,340,210:183,388,135:263,026,611",41.07
fMyoSco1,Myoxocephalus scorpius,Myoxocephalus scorpius,shorthorn sculpin,hap1,vgp_hic_2.0,NA,,,"619,605,288",1.12,68,28,,,,Linelle Abueg,RU,,,,,,,98,"715,488,452","7,300,902.57","36,375,788","39,498,486.54",8,"37,466,234","45,610,829.24",7,"56,670,893","17,144",585,"715,391,052","1,222,890.69","3,080,030","4,193,506.11",63,"3,875,805","4,841,786.87",49,"18,544,380","17,144",487,"97,400",200,200,200,244,200,200,"205,615,315:151,982,718:152,137,910:205,655,109",42.51
fMyoSco1,Myoxocephalus scorpius,Myoxocephalus scorpius,shorthorn sculpin,hap2,vgp_hic_2.0,NA,,,"619,605,288",1.12,68,28,,,,Linelle Abueg,RU,,,,,,,107,"721,326,304","6,741,367.33","36,611,539","39,014,237.34",8,"37,154,042","45,419,230.87",7,"57,335,687","10,345",591,"721,229,504","1,220,354.49","3,025,679","3,586,199.53",71,"3,759,167","4,174,388.05",56,"11,675,293","10,345",484,"96,800",200,200,200,242,200,200,"207,163,949:153,369,550:153,324,341:207,371,664",42.52
fPseAme1,Pseudopleuronectes americanus,Pseudopleuronectes americanus,winter flounder,hap1,vgp_hic_2.0,NA,,,"465,163,686",1.16,60,11.4,,,,Linelle Abueg,RU,,,,,,,419,"572,228,477","1,365,700.42","23,518,535","22,631,543.64",11,"25,592,792","27,840,551.92",9,"29,994,057","2,965","1,363","572,039,677","419,691.62","1,967,681","2,567,386.01",78,"2,514,894","3,157,268.53",55,"9,348,880","2,965",944,"188,800",200,200,200,472,200,200,"164,852,586:121,005,925:121,069,683:165,111,483",42.32
fPseAme1,Pseudopleuronectes americanus,Pseudopleuronectes americanus,winter flounder,hap2,vgp_hic_2.0,NA,,,"465,163,686",1.16,60,11.4,,,,Linelle Abueg,RU,,,,,,,337,"564,718,372","1,675,722.17","25,873,033","25,668,611.72",10,"26,193,991","31,162,227.54",8,"41,850,627","3,191","1,274","564,530,972","443,116.93","2,088,214","2,895,153.98",70,"2,653,784","3,513,610.67",49,"10,892,452","3,191",937,"187,400",200,200,200,469,200,200,"162,882,944:119,452,506:119,326,477:162,869,045",42.3
fSalAlp3,Salvelinus alpinus,Salvelinus alpinus,Arctic char,hap1,vgp_hic_2.0,NA,,,"1,914,204,000",0.931,51,69.4,,,,Linelle Abueg,RU,,,,,,,"1,724","2,269,300,671","1,316,299.69","57,597,415","59,256,074.29",15,"61,795,513","70,248,442.25",12,"113,505,844","10,181","5,877","2,268,470,071","385,991.16","1,025,861","1,698,099.49",520,"1,340,811","2,012,370.61",369,"10,953,451","10,181","4,153","830,600",200,200,200,"2,077",200,200,"642,103,883:492,513,323:492,543,271:641,309,594",43.42
fSalAlp3,Salvelinus alpinus,Salvelinus alpinus,Arctic char,hap2,vgp_hic_2.0,NA,,,"1,914,204,000",0.931,51,69.4,,,,Linelle Abueg,RU,,,,,,,"2,187","2,005,002,654","916,782.19","41,528,662","43,015,974.01",17,"41,731,044","45,056,400.50",16,"91,870,169","4,366","6,075","2,004,225,054","329,913.59","914,978","1,566,810.41",501,"1,015,629","1,640,494.26",454,"13,468,241","4,366","3,888","777,600",200,200,200,"1,944",200,200,"567,882,662:433,507,997:434,783,935:568,050,460",43.32
klBraLanc5,Branchiostoma lanceolatum,Branchiostoma lanceolatum,European lancelet,hap1,vgp_hic_2.0,Y,,,"419,449,345",4.12,114,27.4,,,,Linelle Abueg,RU,,,,,,,132,473216920,3584976.67,23136606,28664545.14,7,23888442,32338941.34,6,59249809,17019,178,473207720,2658470.34,16375902,14653669.28,13,17662907,16531744.56,11,24088695,17019,46,9200,200,200,200,23,200,200,138330866:98461988:98308729:138106137,41.58
klBraLanc5,Branchiostoma lanceolatum,Branchiostoma lanceolatum,European lancelet,hap2,vgp_hic_2.0,Y,,,"419,449,345",4.12,114,27.4,,,,Linelle Abueg,RU,,,,,,,132,473216920,3584976.67,23136606,28664545.14,7,23888442,32338941.34,6,59249809,17019,178,473207720,2658470.34,16375902,14653669.28,13,17662907,16531744.56,11,24088695,17019,46,9200,200,200,200,23,200,200,138330866:98461988:98308729:138106137,41.58
mArtInt1,Artibeus intermedius,Artibeus intermedius,intermediate fruit-eating bat,hap1,vgp_hic_2.0,Y,,,"2,113,945,202",1.29,43,21,,,,Giulio Formenti,RU,,,,,,,443,"2,141,668,179","4,834,465.42","149,550,682","153,773,091.54",6,"149,550,682","155,789,722.75",6,"245,071,968","11,386",479,"2,141,660,979","4,471,108.52","64,596,378","67,193,363.47",12,"64,596,378","68,074,330.62",12,"144,957,903","11,386",36,"7,200",200,200,200,18,200,200,"617,546,648:453,927,737:453,270,019:616,916,575",42.36
mArtInt1,Artibeus intermedius,Artibeus intermedius,intermediate fruit-eating bat,hap2,vgp_hic_2.0,Y,,,"2,113,945,202",1.29,43,21,,,,Giulio Formenti,RU,,,,,,,216,"2,237,289,573","10,357,822.10","163,807,337","160,430,788.58",6,"163,807,337","169,791,596.36",6,"244,581,101","10,826",252,"2,237,282,373","8,878,104.65","66,780,878","83,151,076.52",10,"91,694,587","88,002,488.25",9,"198,120,864","10,826",36,"7,200",200,200,200,18,200,200,"646,599,606:472,288,409:471,760,097:646,634,261",42.2
mArtLit1,Artibeus lituratus,Artibeus lituratus,great fruit-eating bat,hap1,vgp_hic_2.0,NA,,,"2,151,716,809",1.19,55,21.6,,,,Giulio Formenti,RU,,,,,,,535,"2,266,631,287","4,236,693.99","160,301,290","154,741,031.30",6,"160,301,290","163,005,122.92",6,"244,258,554","10,282",561,"2,266,626,087","4,040,331.71","70,475,732","98,464,644.55",9,"87,338,209","103,723,004.37",8,"223,974,141","10,282",26,"5,200",200,200,200,13,200,200,"652,717,129:481,052,871:479,545,059:653,311,028",42.38
mArtLit1,Artibeus lituratus,Artibeus lituratus,great fruit-eating bat,hap2,vgp_hic_2.0,NA,,,"2,151,716,809",1.19,55,21.6,,,,Giulio Formenti,RU,,,,,,,336,"2,143,122,221","6,378,339.94","164,085,209","159,148,490.59",6,"164,085,209","158,512,804.84",6,"245,578,882","8,622",375,"2,143,114,421","5,714,971.79","58,233,483","62,266,745.79",13,"56,036,197","62,017,808.42",14,"140,530,454","8,622",39,"7,800",200,200,200,20,200,200,"616,139,538:454,730,428:455,858,799:616,385,656",42.49
mCanLup2,Canis lupus baileyi,Canis lupus,Mexican wolf,hap1,vgp_hic_2.0,NA,,,"2,385,163,955",0.342,35,20.2,,,,Linelle Abueg,RU,,,,,,,375,"2,363,949,293","6,303,864.78","65,176,629","65,322,298.97",15,"65,176,629","64,741,294.68",15,"123,640,936","4,299",497,"2,363,924,893","4,756,388.11","32,880,015","33,210,090.92",26,"32,134,431","32,914,366.52",27,"93,831,034","4,299",122,"24,400",200,200,200,61,200,200,"689,185,110:492,167,330:491,511,039:691,061,414",41.61
mCanLup2,Canis lupus baileyi,Canis lupus,Mexican wolf,hap2,vgp_hic_2.0,NA,,,"2,385,163,955",0.342,35,20.2,,,,Linelle Abueg,RU,,,,,,,297,"2,472,325,077","8,324,326.86","65,755,526","68,263,932.29",15,"65,819,357","70,758,503.33",14,"125,236,116","12,128",395,"2,472,305,477","6,259,001.21","40,446,071","39,513,287.69",23,"40,946,682","40,956,898.32",22,"93,943,997","12,128",98,"19,600",200,200,200,49,200,200,"723,490,768:512,775,156:513,788,480:722,251,073",41.52
mEptFur1,Eptesicus furinalis,Eptesicus furinalis,Argentine brown bat,hap1,vgp_hic_2.0,NA,,,"2,065,876,093",0.383,28,27.1,,,,Linelle Abueg,RU,,,,,,,226,"2,168,906,355","9,596,930.77","101,045,139","93,586,921.82",10,"107,852,120","98,254,329.08",9,"143,044,151","13,702",389,"2,168,873,755","5,575,510.94","55,411,905","55,566,827.33",14,"55,411,905","58,337,203.21",14,"110,345,296","13,702",163,"32,600",200,200,200,82,200,200,"610,836,000:472,800,320:475,953,010:609,284,425",43.74
mEptFur1,Eptesicus furinalis,Eptesicus furinalis,Argentine brown bat,hap2,vgp_hic_2.0,NA,,,"2,065,876,093",0.383,28,27.1,,,,Linelle Abueg,RU,,,,,,,114,"2,114,559,970","18,548,771.67","107,652,961","95,640,505.69",9,"107,652,961","97,894,343.97",9,"144,070,492","14,875",281,"2,114,526,570","7,525,005.59","60,856,633","59,351,980.69",13,"63,676,387","60,749,693.84",12,"113,651,757","14,875",167,"33,400",200,200,200,84,200,200,"595,793,116:461,376,912:461,992,413:595,364,129",43.67
mGloMut1,Glossophaga mutica,Glossophaga mutica,Merriam's long-tongued bat,hap1,vgp_hic_2.0,NA,,,"2,126,071,203",0.649,35,18.2,,,,Linelle Abueg,RU,,,,,,,104,"2,160,385,964","20,772,941.96","169,732,090","163,133,326.55",6,"169,732,090","165,766,296.28",6,"224,298,656","1,874",140,"2,160,378,764","15,431,276.89","77,027,013","99,277,133.58",8,"77,027,013","100,879,129.00",8,"219,477,644","1,874",36,"7,200",200,200,200,18,200,200,"624,904,374:455,937,256:455,460,086:624,077,048",42.19
mGloMut1,Glossophaga mutica,Glossophaga mutica,Merriam's long-tongued bat,hap2,vgp_hic_2.0,NA,,,"2,126,071,203",0.649,35,18.2,,,,Linelle Abueg,RU,,,,,,,79,"2,156,711,076","27,300,140.20","169,568,502","163,608,978.24",6,"169,568,502","165,966,828.87",6,"227,851,170","1,874",116,"2,156,703,676","18,592,273.07","72,101,253","80,011,534.58",10,"72,101,253","81,164,342.24",10,"179,861,822","1,874",37,"7,400",200,200,200,19,200,200,"623,790,068:454,842,636:454,801,000:623,269,972",42.18
mLopEvo1,Lophostoma evotis,Lophostoma evotis,Davis' round-eared bat,hap1,vgp_hic_2.0,NA,,,"2,119,808,407",0.506,27,21,,,,Linelle Abueg,RU,,,,,,,549,"2,429,857,908","4,425,970.69","172,885,802","142,263,912.34",6,"180,427,549","163,071,856.54",5,"226,667,251","10,898",612,"2,429,845,308","3,970,335.47","53,216,651","55,871,686.70",16,"56,124,470","64,043,314.16",13,"131,204,195","10,898",63,"12,600",200,200,200,32,200,200,"705,343,037:509,552,643:509,713,590:705,236,038",41.95
mLopEvo1,Lophostoma evotis,Lophostoma evotis,Davis' round-eared bat,hap2,vgp_hic_2.0,NA,,,"2,119,808,407",0.506,27,21,,,,Linelle Abueg,RU,,,,,,,248,"2,166,776,059","8,737,000.24","170,643,846","154,369,830.23",6,"170,643,846","157,790,133.89",6,"223,682,090","16,780",308,"2,166,764,059","7,034,948.24","61,005,130","65,430,879.12",12,"61,005,130","66,880,231.61",12,"132,006,968","16,780",60,"12,000",200,200,200,30,200,200,"626,620,810:457,826,009:457,266,764:625,050,476",42.23
mMacNem1,Macaca nemestrina,Macaca nemestrina,pig-tailed macaque,hap1,vgp_hic_2.0,NA,,,"2,818,800,633",0.965,41,27.8,,,,Linelle Abueg,RU,,,,,,,392,"2,949,025,525","7,523,024.30","143,912,806","143,047,237.56",8,"143,912,806","149,655,832.30",8,"223,399,195","12,482",571,"2,948,989,725","5,164,605.47","40,835,442","46,017,571.89",22,"44,762,512","48,142,938.91",21,"123,176,650","12,482",179,"35,800",200,200,200,90,200,200,"867,977,071:606,962,150:605,869,616:868,180,888",41.13
mMacNem1,Macaca nemestrina,Macaca nemestrina,pig-tailed macaque,hap2,vgp_hic_2.0,NA,,,"2,818,800,633",0.965,41,27.8,,,,Linelle Abueg,RU,,,,,,,300,"3,137,419,988","10,458,066.63","142,261,179","142,807,479.83",9,"142,892,981","158,949,532.08",8,"223,155,965","13,590",487,"3,137,382,588","6,442,264.04","32,872,254","40,995,666.92",27,"37,481,128","45,629,013.31",23,"115,845,634","13,590",187,"37,400",200,200,200,94,200,200,"924,523,425:643,775,618:644,460,107:924,623,438",41.06
mMicMic1,Micronycteris microtis,Micronycteris microtis,common big-eared bat,hap1,vgp_hic_2.0,,,,"2,057,489,279",0.313,37,18.7,,,,Linelle Abueg,RU,,,,,,,299,"2,155,294,173","7,208,341.72","134,000,379","146,083,777.74",6,"145,598,184","153,028,022.14",5,"241,778,063","12,367",353,"2,155,283,373","6,105,618.62","59,308,170","78,345,671.32",11,"66,397,402","82,069,503.09",10,"225,099,863","12,367",54,"10,800",200,200,200,27,200,200,"617,579,770:459,318,802:459,665,272:618,719,529",42.64
mMicMic1,Micronycteris microtis,Micronycteris microtis,common big-eared bat,hap2,vgp_hic_2.0,,,,"2,057,489,279",0.313,37,18.7,,,,Linelle Abueg,RU,,,,,,,211,"2,037,240,852","9,655,169.91","145,957,002","147,969,862.50",5,"145,957,002","146,513,642.54",5,"243,894,213","15,585",262,"2,037,230,652","7,775,689.51","58,593,296","71,379,587.65",11,"58,593,296","70,676,763.85",11,"173,477,262","15,585",51,"10,200",200,200,200,26,200,200,"582,754,536:435,715,936:435,793,595:582,966,585",42.78
mMicPen1,Microtus pennsylvanicus,Microtus pennsylvanicus,meadow vole,hap1,vgp_hic_2.0,,,,"2,189,609,108",1.23,44,20.8,,,,Linelle Abueg,RU,,,,,,99.15,188,"2,220,458,737","11,810,950.73","113,644,876","115,576,295.88",8,"113,644,876","117,204,662.25",8,"222,664,965","14,952",230,"2,220,450,337","9,654,131.90","47,175,454","57,916,040.82",15,"47,175,454","58,731,803.72",15,"145,900,345","14,952",42,"8,400",200,200,200,21,200,200,"637,706,391:471,792,864:472,930,006:638,021,076",42.55
mMicPen1,Microtus pennsylvanicus,Microtus pennsylvanicus,meadow vole,hap2,vgp_hic_2.0,,,,"2,189,609,108",1.23,44,20.8,,,,Linelle Abueg,RU,,,,,,99.24,156,"2,314,817,810","14,838,575.71","125,724,489","119,781,322.65",8,"125,724,489","126,630,793.58",8,"222,093,578","11,262",208,"2,314,807,410","11,128,881.78","60,463,635","59,233,208.54",14,"63,584,353","62,620,067.45",13,"114,337,927","11,262",52,"10,400",200,200,200,26,200,200,"666,754,398:490,243,515:491,319,786:666,489,711",42.4
mMolAlv2,Molossus alvarezi,Tadarida brasiliensis,Alvarez's mastiff bat,hap1,vgp_hic_2.0,NA,,,"2,462,326,432",0.259,50,29.2,,,,Linelle Abueg,RU,,,,,,,504,"2,489,592,225","4,939,667.11","112,651,663","117,796,852.69",9,"112,651,663","119,101,243.24",9,"273,468,512","6,205",551,"2,489,582,825","4,518,299.14","63,410,948","62,841,854.59",15,"63,959,489","63,537,476.42",14,"142,808,176","6,205",47,"9,400",200,200,200,24,200,200,"718,421,348:526,371,781:526,186,414:718,603,282",42.28
mMolAlv2,Molossus alvarezi,Tadarida brasiliensis,Alvarez's mastiff bat,hap2,vgp_hic_2.0,NA,,,"2,462,326,432",0.259,50,29.2,,,,Linelle Abueg,RU,,,,,,,356,"2,498,725,343","7,018,891.41","113,334,338","116,023,034.30",9,"113,334,338","117,738,128.87",9,"266,089,111","5,756",400,"2,498,716,543","6,246,791.36","69,284,146","68,550,148.31",13,"69,284,146","69,563,236.47",13,"128,360,190","5,756",44,"8,800",200,200,200,22,200,200,"721,663,963:527,912,168:527,892,994:721,247,418",42.25
mMolNig1,Molossus nigricans,Molossus nigricans,northern black mastiff bat,hap1,vgp_hic_2.0,NA,,,"2,442,729,045",0.732,50,30.5,,,,Linelle Abueg,RU,,,,,,,518,"2,402,744,866","4,638,503.60","114,180,874","108,702,683.04",9,"114,180,874","106,923,366.77",9,"222,982,863","4,125",571,"2,402,734,266","4,207,940.92","74,731,956","67,430,411.23",13,"74,731,956","66,326,373.76",13,"136,289,148","4,125",53,"10,600",200,200,200,27,200,200,"686,669,988:513,984,166:513,931,063:688,149,049",42.78
mMolNig1,Molossus nigricans,Molossus nigricans,northern black mastiff bat,hap2,vgp_hic_2.0,NA,,,"2,442,729,045",0.732,50,30.5,,,,Linelle Abueg,RU,,,,,,,368,"2,572,879,994","6,991,521.72","112,648,741","101,030,129.53",11,"114,563,334","106,413,111.84",10,"153,025,635","12,397",413,"2,572,870,994","6,229,711.85","73,223,485","67,045,729.22",14,"74,053,093","70,617,743.03",13,"116,960,386","12,397",45,"9,000",200,200,200,23,200,200,"739,171,935:547,450,163:547,784,051:738,464,845",42.57
